"Date(UTC)","UnixTimeStamp","Value"
"1/30/2022","1643500800","4642033"
"1/31/2022","1643587200","4780399"
"2/1/2022","1643673600","4855935"
"2/2/2022","1643760000","4846409"
"2/3/2022","1643846400","6236315"
"2/4/2022","1643932800","4985511"
"2/5/2022","1644019200","5290981"
"2/6/2022","1644105600","5034167"
"2/7/2022","1644192000","5939012"
"2/8/2022","1644278400","6426089"
"2/9/2022","1644364800","5526234"
"2/10/2022","1644451200","6121922"
"2/11/2022","1644537600","6314066"
"2/12/2022","1644624000","4988878"
"2/13/2022","1644710400","5080772"
"2/14/2022","1644796800","5274732"
"2/15/2022","1644883200","6454338"
"2/16/2022","1644969600","6507899"
"2/17/2022","1645056000","5953873"
"2/18/2022","1645142400","5989724"
"2/19/2022","1645228800","5103765"
"2/20/2022","1645315200","5447812"
"2/21/2022","1645401600","5623913"
"2/22/2022","1645488000","5725124"
"2/23/2022","1645574400","5772834"
"2/24/2022","1645660800","5839078"
"2/25/2022","1645747200","6216309"
"2/26/2022","1645833600","4970280"
"2/27/2022","1645920000","4675745"
"2/28/2022","1646006400","5310862"
"3/1/2022","1646092800","5351183"
"3/2/2022","1646179200","4924379"
"3/3/2022","1646265600","4967283"
"3/4/2022","1646352000","5089487"
"3/5/2022","1646438400","4621655"
"3/6/2022","1646524800","4400332"
"3/7/2022","1646611200","4951593"
"3/8/2022","1646697600","4673736"
"3/9/2022","1646784000","4896899"
"3/10/2022","1646870400","4878789"
"3/11/2022","1646956800","4633002"
"3/12/2022","1647043200","4615760"
"3/13/2022","1647129600","4530927"
"3/14/2022","1647216000","4973138"
"3/15/2022","1647302400","5081054"
"3/16/2022","1647388800","4929310"
"3/17/2022","1647475200","5102480"
"3/18/2022","1647561600","4769994"
"3/19/2022","1647648000","5191678"
"3/20/2022","1647734400","4865003"
"3/21/2022","1647820800","6172067"
"3/22/2022","1647907200","5667075"
"3/23/2022","1647993600","5509957"
"3/24/2022","1648080000","5861517"
"3/25/2022","1648166400","5087329"
"3/26/2022","1648252800","4701637"
"3/27/2022","1648339200","4834188"
"3/28/2022","1648425600","5568820"
"3/29/2022","1648512000","5344954"
"3/30/2022","1648598400","5844847"
"3/31/2022","1648684800","5843958"
"4/1/2022","1648771200","5724223"
"4/2/2022","1648857600","5483863"
"4/3/2022","1648944000","5108578"
"4/4/2022","1649030400","5723011"
"4/5/2022","1649116800","5771429"
"4/6/2022","1649203200","5269598"
"4/7/2022","1649289600","5535247"
"4/8/2022","1649376000","5067389"
"4/9/2022","1649462400","4301462"
"4/10/2022","1649548800","4267530"
"4/11/2022","1649635200","4758614"
"4/12/2022","1649721600","4835926"
"4/13/2022","1649808000","4646800"
"4/14/2022","1649894400","4432114"
"4/15/2022","1649980800","4430185"
"4/16/2022","1650067200","4540729"
"4/17/2022","1650153600","4345617"
"4/18/2022","1650240000","4586782"
"4/19/2022","1650326400","4630140"
"4/20/2022","1650412800","5338467"
"4/21/2022","1650499200","5483601"
"4/22/2022","1650585600","5224889"
"4/23/2022","1650672000","5527254"
"4/24/2022","1650758400","4660749"
"4/25/2022","1650844800","5384072"
"4/26/2022","1650931200","5275215"
"4/27/2022","1651017600","4816824"
"4/28/2022","1651104000","5246574"
"4/29/2022","1651190400","5521291"
"4/30/2022","1651276800","4692673"
"5/1/2022","1651363200","4527768"
"5/2/2022","1651449600","4232416"
"5/3/2022","1651536000","4084282"
"5/4/2022","1651622400","4596676"
"5/5/2022","1651708800","4748569"
"5/6/2022","1651795200","4291334"
"5/7/2022","1651881600","4215245"
"5/8/2022","1651968000","4239064"
"5/9/2022","1652054400","5773186"
"5/10/2022","1652140800","5229964"
"5/11/2022","1652227200","7687877"
"5/12/2022","1652313600","9786553"
"5/13/2022","1652400000","8044870"
"5/14/2022","1652486400","6919425"
"5/15/2022","1652572800","5074861"
"5/16/2022","1652659200","4907084"
"5/17/2022","1652745600","4312875"
"5/18/2022","1652832000","4264878"
"5/19/2022","1652918400","4311128"
"5/20/2022","1653004800","4068798"
"5/21/2022","1653091200","3755463"
"5/22/2022","1653177600","4008717"
"5/23/2022","1653264000","4877231"
"5/24/2022","1653350400","4579655"
"5/25/2022","1653436800","4514886"
"5/26/2022","1653523200","5075077"
"5/27/2022","1653609600","4486847"
"5/28/2022","1653696000","4002224"
"5/29/2022","1653782400","3911115"
"5/30/2022","1653868800","4463422"
"5/31/2022","1653955200","4359543"
"6/1/2022","1654041600","4214718"
"6/2/2022","1654128000","3829278"
"6/3/2022","1654214400","3667007"
"6/4/2022","1654300800","3545295"
"6/5/2022","1654387200","3703204"
"6/6/2022","1654473600","4213888"
"6/7/2022","1654560000","4337901"
"6/8/2022","1654646400","4470242"
"6/9/2022","1654732800","4322352"
"6/10/2022","1654819200","4414999"
"6/11/2022","1654905600","3824968"
"6/12/2022","1654992000","3774963"
"6/13/2022","1655078400","4961847"
"6/14/2022","1655164800","4555656"
"6/15/2022","1655251200","4342366"
"6/16/2022","1655337600","3976351"
"6/17/2022","1655424000","3570978"
"6/18/2022","1655510400","3857194"
"6/19/2022","1655596800","3383027"
"6/20/2022","1655683200","3881487"
"6/21/2022","1655769600","4031753"
"6/22/2022","1655856000","3609443"
"6/23/2022","1655942400","3703467"
"6/24/2022","1656028800","4139505"
"6/25/2022","1656115200","3824449"
"6/26/2022","1656201600","3622030"
"6/27/2022","1656288000","3636242"
"6/28/2022","1656374400","3924106"
"6/29/2022","1656460800","3945854"
"6/30/2022","1656547200","4166961"
"7/1/2022","1656633600","4116923"
"7/2/2022","1656720000","3415165"
"7/3/2022","1656806400","3164774"
"7/4/2022","1656892800","3902321"
"7/5/2022","1656979200","4039051"
"7/6/2022","1657065600","3823959"
"7/7/2022","1657152000","3919680"
"7/8/2022","1657238400","3796130"
"7/9/2022","1657324800","3218490"
